zh_CN,Metdata,Label,pt_BR,da,th,es_MX,no,pl,vi,pt_PT,fr_CA,de,es,fr,it,ko,package,Translated,Configuration
"企业投诉","CustomLabel.CEC_Corporate_Concern","Corporate Concern","Preocupação da Empresa","Corporate Concern","ข้อร้องเรียน Corporate Concern","Corporate Concern","Bedrifts bekymringer","Corporate Concern","Khiếu nại từ tập đoàn","Corporate Concern","Plainte au siège social","Corporate Concern","Corporate Concern","Corporate Concern","Corporate Concern","기업 쟁점","CustomLabel$CEC_Corporate_Concern","Will be Transalted","No"
"国家","CustomLabel.CEC_Country","Country","País","Land","ประเทศ","País","Land","Kraj","Quốc gia","País","Pays","Land","País","Pays","Paese","국가","CustomLabel$CEC_Country","Will be Transalted","No"
"创建","CustomLabel.CEC_Create","Create","Criar","Opret","สร้าง","Crear","Opprett","Utwórz","Tạo","Criar","Créer","Erstellen","Crear","Créer","Crea","생성","CustomLabel$CEC_Create","Will be Transalted","No"
"创建第三方账号类型","CustomLabel.CEC_Create_3rd_Party_Auditor","Create 3rd Party Auditor","Criar Perfil de terceiro","Opret tredjeparts revisor","สร้าง ผู้ตรวจสอบบัญชีบุคคลที่สาม","Crear Perfil de un Tercero","Opprett tredjeparts revisor","Utwórz - Audytor - strona trzecia","Tạo kiểm tra viên bên thứ 3","Criar Perfil de Auditor Terceiro","Créer un vérificateur indépendant","3. Partei erstellen","Crear Perfil de un Tercero","Créer un auditeur tiers","Crea cliente","제3자 생성","CustomLabel$CEC_Create_3rd_Party_Auditor","Will be Transalted","No"
"创建个人用户联系方式","CustomLabel.CEC_Create_Consumer_Contact","Create Consumer Contact","Criar Contato de Cliente","Opret forbrugerkontakt","สร้างข้อมูลติดต่อผู้ใช้ส่วนบุคคล","Crear Contacto de Cliente","Opprett forbrukerkontakt","Utwórz kontakt klienta","Tạo liên hệ khách hàng","Criar Contacto de Cliente","Créer un contact consommateur","Privatkunde Kontakt erstellen","Crear Contacto de Cliente","Créer un contact client","Crea contatto","개인 정보 생성","CustomLabel$CEC_Create_Consumer_Contact","Will be Transalted","No"
"创建联系人","CustomLabel.CEC_Create_Contact","Create Contact","Criar Contato","Opret kontakt","สร้างผู้ติดต่อ","Crear Contacto","Opprett kontakt","Utwórz kontakt","Thiết lập liên lạc","Criar Contato","Créer un contact","Kontakt erstellen","Crear Contacto","Créer un contact","Crea contatto","연락처 생성","CustomLabel$CEC_Create_Contact","Will be Transalted","No"
"创建个人联系人","CustomLabel.CEC_Create_Individual_Contact","Create Individual Contact","Criar contato individual","","สร้างที่ติดต่อส่วนบุคคล","Crear contacto individual","","Utwórz indywidualny kontakt","","Criar contato individual","","Erstellen Sie einen individuellen Kontakt","Crear contacto individual","Créer un contact individuel","","개별 연락처 만들기","CustomLabel$CEC_Create_Individual_Contact","Will be Transalted","No"
"创建无账号客户","CustomLabel.CEC_Create_Non_Business_Account","Create Non-Account Business","Criar um perfil de empresa","Opret virksomhed uden kontonummer","สร้าง ลูกค้าธุรกิจไม่มีสมาชิก UPS","Crear Perfil de Empresa Sin Cuenta","Opprett bedrift uten kundenummer","Utwórz konto firmowe (bez numeru klienta)","Tạo dữ liệu cho khách hàng chưa có tài khoản","Criar perfil de Empresa Sem Conta","Créer une entreprise (sans compte)","Firma ohne Kundennummer erstellen","Crear Perfil de Empresa Sin Cuenta","Créer un professionnel sans compte","Crea cliente","무계정 기업 생성","CustomLabel$CEC_Create_Non_Business_Account","Will be Transalted","No"
"当前日期和时间","CustomLabel.CEC_CurrentDateAndTime","Current Date & Time","Data & Hora atual","Nuværende Dato og Tid","วันที่และเวลาปัจจุบัน","Fecha y Hora Actuales","Nåværende Tid & Dato","Obecna data i godzina","Ngày giờ hiện hành","Data e Hora actual","Date et heure actuelles","Aktuelles Datum & Uhrzeit","Fecha y Hora Actuales","Date et heure actuelles","Data e Ora","현재 날짜 & 시간","CustomLabel$CEC_CurrentDateAndTime","Will be Transalted","No"
"客户反馈","CustomLabel.CEC_Customer_Contact_Comments","Customer Contact Comments","Comentários de contato com o cliente","Kommentarer til kundekontakt","ความคิดเห็นจากลูกค้า","Comentarios del Contacto con el Cliente","Kundekontakt kommentarer","Komentarze do kontaktu z klientem","Bình luận về liên lạc với khách hàng","Comentários do contacto com o Cliente","Commentaires – Contact avec client","Bemerkungen zum Kundenkontakt","Comentarios del Contacto con el Cliente","Commentaires sur le contact avec le client","Commenti sul contatto al cliente","고객 연락 관련 코멘트","CustomLabel$CEC_Customer_Contact_Comments","Will be Transalted","No"
"跟进人","CustomLabel.CEC_Customer_Follow_Up_by","Customer Follow-Up By","Acompanhamento junto ai cliente feito por","Kunde opfølgning af","ติดตามลูกค้าโดย","Seguimiento del Cliente Por","Kundeoppfølging av","Z klientem kontaktował/a się","Người theo dõi với khách","Seguimento com cliente por","Suivi auprès du client par","Kunden Follow up durch","Seguimiento del Cliente Por","Suivi auprès du client par","Contatto al cliente da parte di","후속조치인","CustomLabel$CEC_Customer_Follow_Up_by","Will be Transalted","No"
"客户当地时间","CustomLabel.CEC_Customer_s_Current_Date_Time","Customer Local Time","Hora local do cliente","Kunde lokal tid","เวลาท้องถิ่นของลูกค้า","Hora Local del Cliente","Kunde lokal tid","Czas lokalny klienta","Giờ địa phương của khách hàng","Hora local do cliente","Heure locale du client","Lokale Uhrzeit des Kunden","Hora Local del Cliente","Heure locale du client","Orario locale del cliente","고객 현지 시간","CustomLabel$CEC_Customer_s_Current_Date_Time","Will be Transalted","No"
"详情","CustomLabel.CEC_DETAILS","DETAILS","Detalhes","DETALJER","รายละเอียด","DETALLES","DETALJER","SZCZEGÓŁY","Chi tiết","Detalhes","DÉTAILS","DETAILS","DETALLES","DÉTAILS","DETTAGLI","세부사항","CustomLabel$CEC_DETAILS","Will be Transalted","No"
"添加日期","CustomLabel.CEC_Date_Added","Date Added","DATA ADICIONADA","Dato tilføjet","วันที่เพิ่ม","FECHA EN QUE SE AÑADE","LAGT TIL DATO","Data dodania","Ngày bổ sung","DADA EM QUE FOI ADICIONADO","DATE D'AJOUT","HINZUGEFÜGT AM","FECHA EN QUE SE AÑADE","DATE DE L'AJOUT","DATA DI INSERIMENTO","추가된 날짜","CustomLabel$CEC_Date_Added","Will be Transalted","No"
"创建日期","CustomLabel.CEC_Date_Created","Date Created","DATA DE CRIAÇÃO","oprettet dato","วันที่สร้าง","FECHA DE CREACIÓN","DATO OPPRETTET","Data utworzenia sprawy","Ngày tạo","DATA DE CRIAÇÃO","DATE DE CRÉATION","DATUM DES VORGANGS","FECHA DE CREACIÓN","DATE DE CRÉATION","DATA DI CREAZIONE","생성 날짜","CustomLabel$CEC_Date_Created","Will be Transalted","No"
"日期信息","CustomLabel.CEC_Date_Information","Date Information","Data da Informação","Dato information","ข้อมูลวันที่","Fecha de la Información","Dato informasjon","","Thông tin về ngày","","Date de l'information","","Fecha de la Información","Date de l'information","Data dell'informazione","날짜 정보","CustomLabel$CEC_Date_Information","Will be Transalted","No"
"抱歉，您不能删除此项目。","CustomLabel.CEC_Deletion_Error_Message","Sorry, you cannot delete this item.","Desculpe, você não pode deletar esse item.","Beklager du kan ikke slette dette emne.","ขออภัย ท่านไม่สามารถลบรายการนี้","Lo sentimos, no se puede eliminar este elemento.","Beklager, du kan ikke slette dette elementet.","Niestety nie możesz tego usunąć.","","Desculpe, não pode excluir este elemento.","Désolé, vous ne pouvez pas supprimer cet élément.","Dieses Element kann leider nicht gelöscht werden.","Lo siento, no puede borrar este elemento.","Désolé, vous ne pouvez pas supprimer cet élément.","Non puoi cancellare questo elemento.","죄송합니다. 해당항목을 삭제하실수 없습니다","CustomLabel$CEC_Deletion_Error_Message","Will be Transalted","No"
"描述","CustomLabel.CEC_Description","Description","Descrição","Beksrivelse","คำอธิบาย","Descripción","Beskrivelse","Opis","Mô tả","Descrição","Description","Beschreibung","Descripción","Description","Descrizione","설명","CustomLabel$CEC_Description","Will be Transalted","No"
"详情","CustomLabel.CEC_Details_Label","Details","Detalhes","Detaljer","รายละเอียด","Detalles","Detaljer","","Chi tiết","","Détails","","Detalles","Détails","Dettagli","세부사항","CustomLabel$CEC_Details_Label","Will be Transalted","No"
"为你和团队管理首选项，技能和离开办公室设置","CustomLabel.CEC_Details_Preferences_Access_Message1","Manage Preferences, Skills and Out of Office settings for you or your team.","Configurar Preferências, Habilidades e mensagem de ausência temporária para você ou para sua equipe","Vedligehold præferencer, egenskaber og Out of Office indstillinger for dig og dit hold","จัดการตั้งค่ากำหนด การตั้งค่าทักษะ และการตั้งค่าไม่อยู่ในสำนักงานสำหรับคุณและทีมของคุณ","Administra Preferencias, Habilidades y la Configuración Fuera de la Oficina para ti y tu equipo.","Vedlikehold preferanser, skills og Out of Office instillnger for deg og ditt team.","","Cập nhật các tham khảo, kỹ năng và cài đặt Ra khỏi nơi làm việc cho bạn và nhóm của bạn.","Configurar Preferências, Competências e Out of Office para si ou para a sua equipa","Gérez les préférences, les compétences et les messages d'absence du bureau pour vous ou votre équipe.","","Configura Preferencias, Competencias y Fuera de Oficina para ti o tu Equipo","Gérez les préférences, les compétences et les paramètres hors bureau pour vous ou votre équipe.","Gestisci Preferenze, Skill e Out of Office per te o il tuo gruppo","사용자 또는 해당 팀의 기본 설정, 기술 및 부재중 설정을 관리합니다.","CustomLabel$CEC_Details_Preferences_Access_Message1","Will be Transalted","No"
"管理你的首选项，技能和离开办公室设置","CustomLabel.CEC_Details_Preferences_Access_Message2","Manage your Preferences, Skills and Out of Office settings.","Configurar suas Preferencias, Habilidades e mensagem de ausência temporária","Vedligehold præferncer, færdigheder og Out of Office indstillinger","จัดการตั้งค่ากำหนด การตั้งค่าทักษะ และการตั้งค่าไม่อยู่ในสำนักงาน","Administra tus Preferencias, Habilidades y Configuración Fuera de la Oficina","Vedlikehold dine preferanser, skills og Out of Office instillnger.","","Quản lý các tham khảo, kỹ năng, cài đặt Ra khỏi nơi làm việc.","Administrar as Configurações de Preferências, Competências e Out of Office","Gérez vos préférences, compétences et messages d'absence du bureau.","","Administra tu configuración de Preferencias, Competencias y Fuera de Oficina","Gérez vos préférences, compétences et les paramètres hors bureau","Gestisci le tue Preferenze, Skill e Out of Office","기본 설정, 기술 및 부재중 설정을 관리합니다.","CustomLabel$CEC_Details_Preferences_Access_Message2","Will be Transalted","No"
"详情和首选项","CustomLabel.CEC_Details_and_Preferences","Details and Preferences","Detalhes e Preferências","Detaljer og præferencer","รายละเอียดและค่ากำหนด","Datos de Contacto y Preferencias","Detaljer of preferanser","","Các chi tiết và tham khảo","Detalhes e Preferências","Coordonnées et préférences","","Detalles y Preferencias","Détails et préférences","Dettagli e Preferenze","세부사항 및 기본 설정","CustomLabel$CEC_Details_and_Preferences","Will be Transalted","No"
